,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster_km,Cluster_birch
428,1,3,1,1,1,1,1,8,1,1,1,1,1,0
429,3,3,1,1,1,1,1,2,1,1,1,1,1,0
430,4,3,1,1,1,1,1,4,1,1,1,1,1,0
431,5,2,1,1,1,1,1,1,1,1,1,1,1,0
432,1,3,1,1,1,1,2,3,1,1,1,1,1,0
433,2,3,1,1,1,1,1,4,1,1,1,1,1,0
434,3,3,1,1,1,1,1,3,1,1,1,1,1,0
435,4,3,1,1,1,1,1,4,1,1,1,1,1,0
436,5,2,1,1,1,2,2,1,1,1,1,1,1,0
437,1,3,1,1,1,1,1,2,1,1,1,1,1,0
438,3,3,1,1,1,1,1,4,1,1,1,1,1,0
439,4,3,1,1,1,1,1,4,1,1,1,1,1,0
440,5,3,1,1,1,1,1,2,1,1,1,1,1,0
441,1,3,1,1,1,1,1,3,1,1,1,1,1,0
442,4,3,1,1,1,1,1,4,1,1,1,1,1,0
443,5,3,1,1,1,1,1,2,1,1,1,1,1,0
444,1,3,1,1,1,1,1,1,1,1,1,1,1,0
445,2,3,1,1,1,1,1,7,1,1,1,1,1,0
446,3,3,1,1,1,1,1,2,1,1,1,1,1,0
447,4,3,1,1,1,1,1,3,1,1,1,1,1,0
448,5,3,1,1,1,1,1,4,1,1,1,1,1,0
